Date; GBP-EOM-VAL-CUR;USD-EOM-VAL-CUR;CPI-YOY-ROC-PERC;IR-L-IND-CONCRED-PERC;IR-L-IND-HOU-PERC;IR-L-NFC-PERC;GAC-BM-MIL-EUR;;;;;;;
30/06/2005;0.67420;12.092;1.6;8.33;3.34;4.74;-1305.4;;;;;;;
31/07/2005;0.68930;12.093;2.1;8.1;3.3;4.75;-1109.85;;;;;;;
31/08/2005;0.68290;12.198;2.6;8.45;3.32;4.92;-1730.69;;;;;;;
30/09/2005;0.68195;12.042;2.9;8.39;3.31;4.92;-1600.47;;;;;;;
31/10/2005;0.67665;12.023;2.7;8.15;3.3;4.87;-1767.13;;;;;;;
30/11/2005;0.68215;11.769;2.6;8.29;3.43;4.99;-1597.65;;;;;;;
31/12/2005;0.68530;11.797;2.6;8.25;3.53;4.76;-1604.44;;;;;;;
31/01/2006;0.68430;12.118;2.7;8.22;3.59;4.95;-1446.04;;;;;;;
28/02/2006;0.67960;11.875;3.0;8.36;3.66;5.16;-1596.66;;;;;;;
31/03/2006;0.69640;12.104;3.9;8.77;3.71;5.07;-1789.41;;;;;;;
30/04/2006;0.69420;12.537;3.7;8.08;3.82;5.12;-1588.56;;;;;;;
31/05/2006;0.68590;12.868;3.7;8.13;3.9;5.25;-1772.14;;;;;;;
30/06/2006;0.69210;12.713;3.7;8.52;3.96;5.09;-1620;;;;;;;
31/07/2006;0.68430;12.767;3.1;8.47;3.94;5.44;-1177.02;;;;;;;
31/08/2006;0.67410;12.851;2.8;8.51;4.15;5.37;-1623.6;;;;;;;
30/09/2006;0.67770;12.660;3.1;8.46;4.22;5.5;-1292.09;;;;;;;
31/10/2006;0.66850;12.696;2.7;8.72;4.32;5.26;-1760;;;;;;;
30/11/2006;0.67425;13.200;2.4;9.18;4.38;5.65;-1447.71;;;;;;;
31/12/2006;0.67150;13.170;2.5;8.78;4.41;5.67;-1590.3;;;;;;;
31/01/2007;0.66325;12.954;2.6;9.38;4.39;5.92;-1333.16;;;;;;;
28/02/2007;0.67365;13.211;2.3;9.31;4.48;5.88;-1275.95;;;;;;;
31/03/2007;0.67980;13.318;2.3;9.29;4.52;6.05;-1514.12;;;;;;;
30/04/2007;0.68270;13.605;2.7;9.39;4.56;5.95;-1637.92;;;;;;;
31/05/2007;0.68005;13.453;2.4;9.12;4.65;6.01;-1760.38;;;;;;;
30/06/2007;0.67400;13.505;2.4;8.97;4.72;5.84;-1550.7;;;;;;;
31/07/2007;0.67400;13.707;2.4;9.07;4.74;5.88;-1495.49;;;;;;;
31/08/2007;0.67795;13.705;2.1;9.23;4.82;6.07;-1799.94;;;;;;;
30/09/2007;0.69680;14.179;2.1;9.52;5.07;6.26;-1752.28;;;;;;;
31/10/2007;0.69730;14.447;2.6;9.41;5.23;6.34;-1930.63;;;;;;;
30/11/2007;0.71455;14.761;2.8;9.49;5.21;6.35;-2010.82;;;;;;;
31/12/2007;0.73335;14.721;2.7;9.6;5.2;6.28;-1980.86;;;;;;;
31/01/2008;0.74770;14.870;2.8;9.83;5.27;6.5;-1699.99;;;;;;;
29/02/2008;0.76520;15.167;2.9;9.81;5.12;6.05;-1948.98;;;;;;;
31/03/2008;0.79580;15.812;3.1;9.61;5.05;6.27;-1871.86;;;;;;;
30/04/2008;0.79015;15.540;2.5;9.82;5.27;6.61;-2073.94;;;;;;;
31/05/2008;0.78600;15.508;2.8;9.96;5.45;6.76;-2092.61;;;;;;;
30/06/2008;0.79225;15.764;3.3;9.96;5.61;6.56;-2091.45;;;;;;;
31/07/2008;0.78895;15.611;3.0;10.05;5.65;6.89;-2042.34;;;;;;;
31/08/2008;0.80500;14.735;3.0;10.21;5.71;6.99;-2124.51;;;;;;;
30/09/2008;0.79030;14.303;3.1;10.31;5.76;7.13;-2050.13;;;;;;;
31/10/2008;0.78690;12.757;2.4;10.3;5.67;7.11;-2158.29;;;;;;;
30/11/2008;0.82990;12.727;1.4;10.53;5.72;6.96;-1884.48;;;;;;;
31/12/2008;0.95250;13.917;0.8;9.92;4.94;6.32;-1959.14;;;;;;;
31/01/2009;0.89785;12.816;0.3;10.05;4.13;6.11;-1449.15;;;;;;;
28/02/2009;0.89310;12.644;0.2;9.91;3.45;5.5;-1260.97;;;;;;;
31/03/2009;0.93080;13.308;-0.5;9.34;3.07;5.26;-1646.05;;;;;;;
30/04/2009;0.89335;13.275;-0.5;8.92;2.81;4.91;-1353.22;;;;;;;
31/05/2009;0.87290;14.098;-1.2;8.84;2.65;4.99;-1292.14;;;;;;;
30/06/2009;0.85210;14.134;-1.6;8.57;2.57;4.7;-1569.31;;;;;;;
31/07/2009;0.85560;14.138;-1.5;8.85;2.54;4.51;-1405.53;;;;;;;
31/08/2009;0.88135;14.272;-1.3;8.57;2.39;4.18;-1527.05;;;;;;;
30/09/2009;0.90930;14.643;-1.7;8.82;2.32;4.37;-1738.57;;;;;;;
31/10/2009;0.89375;14.800;-1.5;8.69;2.28;4.45;-1563.86;;;;;;;
30/11/2009;0.91155;15.023;-0.6;8.65;2.26;4.21;-1690.12;;;;;;;
31/12/2009;0.88810;14.406;0.0;8.06;2.25;4.1;-1674.5;;;;;;;
31/01/2010;0.86655;13.966;0.1;7.8;2.17;4.42;-1290.02;;;;;;;
28/02/2010;0.89270;13.570;0.2;8.2;2.2;4.11;-1398.19;;;;;;;
31/03/2010;0.88980;13.479;0.6;8.11;2.23;4.24;-1624.01;;;;;;;
30/04/2010;0.87030;13.315;0.7;7.99;2.26;4.61;-1474.19;;;;;;;
31/05/2010;0.84863;12.307;1.1;8.16;2.31;4.45;-1597.33;;;;;;;
30/06/2010;0.81745;12.271;1.2;8.66;2.28;4.64;-2348.46;;;;;;;
31/07/2010;0.83490;13.028;1.9;8.87;2.36;4.27;-1228.15;;;;;;;
31/08/2010;0.82480;12.680;2.0;9.11;2.58;4.61;-1616.92;;;;;;;
30/09/2010;0.85995;13.648;2.0;9.1;2.68;4.98;-1511.72;;;;;;;
31/10/2010;0.86860;13.857;2.3;9.08;2.73;4.64;-1727.52;;;;;;;
30/11/2010;0.83765;12.998;2.3;8.96;2.84;5.07;-1664.66;;;;;;;
31/12/2010;0.86075;13.362;2.5;8.39;2.98;5.21;-2003.32;;;;;;;
31/01/2011;0.86090;13.692;3.6;9.18;2.94;5.13;-1220.6;;;;;;;
28/02/2011;0.85280;13.834;3.6;9.51;3.05;5.31;-1391.08;;;;;;;
31/03/2011;0.88370;14.207;4.0;9.84;3.21;5.75;-1642.47;;;;;;;
30/04/2011;0.89170;14.860;4.0;9.85;3.44;5.61;-1486.99;;;;;;;
31/05/2011;0.87205;14.385;3.8;9.79;3.6;5.84;-1564.07;;;;;;;
30/06/2011;0.90255;14.453;3.4;9.8;3.76;6.06;-980.12;;;;;;;
31/07/2011;0.87485;14.260;3.2;10.03;3.92;6.15;-1051.68;;;;;;;
31/08/2011;0.88560;14.450;2.9;10.35;4.15;6.51;-1225.6;;;;;;;
30/09/2011;0.86665;13.503;3.6;10.45;4.2;6.69;-1194.48;;;;;;;
31/10/2011;0.87310;14.001;4.2;10.38;4.27;6.73;-884.29;;;;;;;
30/11/2011;0.85580;13.418;3.9;10.36;4.37;6.85;-778.91;;;;;;;
31/12/2011;0.83530;12.939;3.6;10.04;4.28;6.5;-1078.06;;;;;;;
31/01/2012;0.83510;13.176;3.5;10.56;4.68;6.56;-1056.16;;;;;;;
29/02/2012;0.84390;13.443;3.6;10.72;4.44;6.66;-762.72;;;;;;;
31/03/2012;0.83390;13.356;3.1;10.62;4.21;6.39;-706.51;;;;;;;
30/04/2012;0.81295;13.214;3.0;10.98;4.04;6.27;-746.99;;;;;;;
31/05/2012;0.79990;12.403;2.7;10.57;3.99;6.27;-796.15;;;;;;;
30/06/2012;0.80680;12.590;2.7;10.34;3.9;5.88;-389.57;;;;;;;
31/07/2012;0.78395;12.284;2.8;10.43;3.75;5.96;-478.4;;;;;;;
31/08/2012;0.79525;12.611;3.1;10.62;3.69;6.24;-800.87;;;;;;;
30/09/2012;0.79805;12.930;2.9;10.48;3.62;6.14;-1020.88;;;;;;;
31/10/2012;0.80645;12.993;2.1;10.03;3.44;6.1;-996.21;;;;;;;
30/11/2012;0.81080;12.986;1.9;9.94;3.41;5.74;-620.35;;;;;;;
31/12/2012;0.81610;13.194;1.9;9.71;3.39;5.69;-971.46;;;;;;;
31/01/2013;0.85700;13.550;0.2;10.22;3.28;5.63;-484.99;;;;;;;
28/02/2013;0.86300;13.129;0.0;10.29;3.3;5.68;-619.05;;;;;;;
31/03/2013;0.84560;12.805;0.5;10.14;3.31;5.72;-538.52;;;;;;;
30/04/2013;0.84430;13.072;0.2;10.01;3.2;5.82;-587.84;;;;;;;
31/05/2013;0.85365;13.006;0.7;9.81;3.22;5.74;-603.35;;;;;;;
30/06/2013;0.85720;13.080;1.0;9.79;3.16;5.53;-559.2;;;;;;;
31/07/2013;0.87350;13.275;0.8;9.81;3.2;5.39;-781.55;;;;;;;
31/08/2013;0.85395;13.235;0.2;9.95;3.23;5.46;-807.18;;;;;;;
30/09/2013;0.83605;13.505;0.1;10.02;3.14;5.35;-730.53;;;;;;;
31/10/2013;0.85020;13.641;-0.2;9.68;3.26;5.53;-1046.63;;;;;;;
30/11/2013;0.83275;13.611;-0.2;9.47;3.3;5.29;-595.85;;;;;;;
31/12/2013;0.83370;13.791;0.2;9.53;3.25;5.08;-772.33;;;;;;;
31/01/2014;0.82135;13.516;0.1;9.61;3.29;5.34;-759.20;;;;;;;
28/02/2014;0.82625;13.813;-0.1;9.61;3.44;5.01;-685.91;;;;;;;
31/03/2014;0.82820;13.788;-0.4;9.39;3.39;5.46;-798.44;;;;;;;
30/04/2014;0.82300;13.850;-0.1;9.26;3.31;5.38;-522.42;;;;;;;
31/05/2014;0.81310;13.607;-0.4;9.2;3.27;5.42;-742.21;;;;;;;
30/06/2014;0.80150;13.658;-0.4;9.18;3.25;4.49;-677.90;;;;;;;
31/07/2014;0.79280;13.379;-0.9;8.85;3.08;4.52;-943.31;;;;;;;
31/08/2014;0.79530;13.188;-0.4;09/01/1900;3.09;4.76;-781.66;;;;;;;
30/09/2014;0.77730;12.583;-0.4;9.04;3.13;4.59;-1141.29;;;;;;;
31/10/2014;0.78425;12.524;0.0;8.64;3.01;4.76;-848.75;;;;;;;
30/11/2014;0.79530;12.483;0.0;8.71;3.01;4.63;-805.96;;;;;;;
31/12/2014;0.77890;12.141;-0.4;8.61;3;4.09;-962.22;;;;;;;
31/01/2015;0.75110;11.305;-0.4;8.68;2.78;4.61;-615.47;;;;;;;
28/02/2015;0.72780;11.240;-0.2;8.88;2.8;4.22;-471.58;;;;;;;
31/03/2015;0.72730;10.759;0.3;8.44;2.73;4.07;-851.93;;;;;;;
30/04/2015;0.72670;11.215;0.4;8.28;2.45;4.19;-856.68;;;;;;;
31/05/2015;0.71900;10.970;1.0;8.21;2.41;3.82;-1005.19;;;;;;;
30/06/2015;0.71140;11.189;0.8;8.13;2.27;3.57;-817.43;;;;;;;
31/07/2015;0.70410;10.967;0.8;8.1;2.25;3.66;-660.70;;;;;;;
31/08/2015;0.72753;11.215;0.7;8.1;2.23;3.68;-871.49;;;;;;;
30/09/2015;0.73850;11.203;0.9;8.04;2.23;3.55;-990.61;;;;;;;
31/10/2015;0.71820;11.017;0.6;8.05;2.16;3.74;-754.23;;;;;;;
30/11/2015;0.70480;10.579;0.6;7.99;2.13;3.54;-676.23;;;;;;;
31/12/2015;0.73395;10.887;0.4;7.7;2.16;2.98;-1174.46;;;;;;;
31/01/2016;0.76410;10.920;0.8;7.76;2.05;3.59;-619.78;;;;;;;
29/02/2016;0.78580;10.888;0.4;7.66;2.06;3.45;-591.64;;;;;;;
31/03/2016;0.79155;11.385;0.4;7.59;2.05;3.1;-917.29;;;;;;;
30/04/2016;0.78025;11.403;0.5;7.57;2.02;3.26;-644.25;;;;;;;
31/05/2016;0.76185;11.154;0.3;7.53;1.99;3.38;-806.86;;;;;;;
30/06/2016;0.82650;11.102;0.5;7.45;1.94;2.94;-808.23;;;;;;;
31/07/2016;0.84400;11.113;0.6;7.5;1.94;3.14;-538.97;;;;;;;
31/08/2016;0.84806;11.132;0.7;7.43;1.92;3.14;-1082.90;;;;;;;
30/09/2016;0.86103;11.161;0.6;7.55;1.87;3.03;-950.47;;;;;;;
31/10/2016;0.90050;10.946;0.9;7.47;1.85;3.11;-876.54;;;;;;;
30/11/2016;0.85250;10.635;0.6;7.39;1.82;3.01;-807.18;;;;;;;
31/12/2016;0.85618;10.541;0.9;7.14;1.83;2.76;-1367.97;;;;;;;
31/01/2017;0.86105;10.755;1.3;7.52;1.78;3.12;-976.39;;;;;;;
28/02/2017;0.85305;10.597;1.6;7.58;1.81;2.89;-755.47;;;;;;;
31/03/2017;0.85553;10.691;1.4;7.48;1.77;2.71;-925.55;;;;;;;
30/04/2017;0.84473;10.930;2.0;7.4;1.72;2.97;-1107.24;;;;;;;
31/05/2017;0.87365;11.221;1.5;7.36;1.68;2.74;-1279.19;;;;;;;
30/06/2017;0.87933;11.412;0.9;7.28;1.69;2.6;-1044.96;;;;;;;
31/07/2017;0.89420;11.727;0.9;7.39;1.59;2.72;-1048.11;;;;;;;
31/08/2017;0.91973;11.825;1.1;7.44;1.6;2.75;-1194.05;;;;;;;
30/09/2017;0.88178;11.806;1.4;7.2;1.56;2.74;-1177.55;;;;;;;
31/10/2017;0.87853;11.638;1.4;7.23;1.53;2.82;-1517.91;;;;;;;
30/11/2017;0.87985;11.849;1.5;7.18;1.54;2.58;-893.48;;;;;;;
31/12/2017;0.88723;11.993;1.5;6.88;1.57;2.16;-1388.65;;;;;;;
31/01/2018;0.87910;12.457;1.0;7.48;1.44;2.21;-1180.98;;;;;;;
28/02/2018;0.88415;12.214;0.6;7.48;1.46;2.51;-927.34;;;;;;;
31/03/2018;0.87490;12.321;0.7;7.27;1.5;2.41;-1200.94;;;;;;;
30/04/2018;0.87960;12.079;0.4;7.13;1.46;2.55;-1172.42;;;;;;;
31/05/2018;0.87680;11.699;1.0;7.21;1.41;2.47;-1086.26;;;;;;;
30/06/2018;0.88605;11.658;1.5;07/01/1900;1.45;2.36;-1496.07;;;;;;;
31/07/2018;0.89220;11.736;1.6;7.07;1.35;2.37;-1163.50;;;;;;;
31/08/2018;0.89740;11.651;1.2;7.04;1.36;2.36;-1531.21;;;;;;;
30/09/2018;0.88730;11.576;1.4;7.19;1.36;2.36;-1162.22;;;;;;;
31/10/2018;0.88873;11.318;1.0;7.22;1.34;2.43;-1546.65;;;;;;;
30/11/2018;0.89068;11.359;0.9;7.06;1.36;2.43;-1751.84;;;;;;;
31/12/2018;0.89453;11.450;0.7;6.77;1.41;2.46;-1422.39;;;;;;;
31/01/2019;0.87578;11.488;0.5;7.4;1.4;2.41;-1345.30;;;;;;;
28/02/2019;0.85835;11.416;0.9;7.43;1.37;2.43;-1151.36;;;;;;;
31/03/2019;0.85830;11.235;0.8;7.43;1.36;2.29;-1233.81;;;;;;;
30/04/2019;0.86248;11.218;0.8;7.54;1.33;2.41;-1443.00;;;;;;;
31/05/2019;0.88693;11.151;0.4;7.59;1.31;2.27;-1305.74;;;;;;;
30/06/2019;0.89655;11.380;0.4;7.62;1.33;2.26;-1324.31;;;;;;;
31/07/2019;0.91623;11.151;-0.3;7.73;1.26;2.23;-1454.76;;;;;;;
31/08/2019;0.90565;11.036;-0.1;7.87;1.11;2.16;-1403.61;;;;;;;
30/09/2019;0.88573;10.889;-0.1;7.93;1;2.19;-1561.40;;;;;;;
31/10/2019;0.86133;11.154;0.0;7.86;1.02;2.34;-1516.24;;;;;;;
30/11/2019;0.85225;10.982;0.3;7.94;1.05;2.22;-1241.93;;;;;;;
31/12/2019;0.85080;11.234;0.4;7.78;1.1;2.12;-1305.09;;;;;;;
31/01/2020;0.84175;11.052;0.8;8.07;1.07;2.3;-1353.43;;;;;;;
29/02/2020;0.85315;10.977;0.4;7.85;1.06;2.15;-1446.72;;;;;;;
31/03/2020;0.88643;10.956;0.0;7.21;1.02;2.12;-1470.91;;;;;;;
30/04/2020;0.86905;10.876;-0.2;6.75;1.03;2.08;-1017.32;;;;;;;
31/05/2020;0.90088;11.136;-0.7;7.13;1.12;1.56;-800.48;;;;;;;
30/06/2020;0.91243;11.198;0.1;7.17;1.16;1.75;-726.47;;;;;;;
31/07/2020;0.90053;11.848;0.1;7.08;1.09;2;-659.97;;;;;;;
31/08/2020;0.89605;11.940;0.0;7.31;0.98;1.98;-1024.66;;;;;;;
30/09/2020;0.91235;11.708;-0.1;7.39;0.92;2;-1038.61;;;;;;;
31/10/2020;0.90208;11.698;-0.1;7.34;0.87;2.07;-873.24;;;;;;;
30/11/2020;0.89845;11.980;-0.2;7.18;0.84;1.99;-776.64;;;;;;;
31/12/2020;0.89903;12.271;-0.2;6.96;0.8;1.99;-1319.41;;;;;;;
31/01/2021;0.88383;12.136;0.3;7.33;0.77;2.16;-779.47;;;;;;;
28/02/2021;0.87053;12.121;0.5;7.39;0.76;1.71;-620.35;;;;;;;
31/03/2021;0.85209;11.725;0.5;7.3;0.84;1.98;-1008.74;;;;;;;
30/04/2021;0.86863;12.082;0.6;7.32;0.82;2.07;-1125.69;;;;;;;
31/05/2021;0.86013;12.201;1.2;7.19;0.83;1.93;-1279.05;;;;;;;
30/06/2021;0.85805;11.884;0.5;7.24;0.83;2.17;-1390.68;;;;;;;
31/07/2021;0.85140;11.891;1.5;7.32;0.82;1.91;-1262.36;;;;;;;
31/08/2021;0.85875;11.834;1.5;7.37;0.82;2.08;-1476.75;;;;;;;
30/09/2021;0.86053;11.579;1.5;7.32;0.8;2.14;-1580.19;;;;;;;
31/10/2021;0.84490;11.645;1.8;7.39;0.81;2.15;-1688.25;;;;;;;
30/11/2021;0.85173;11.363;2.6;7.45;0.83;2.04;-1706.05;;;;;;;
31/12/2021;0.84028;11.326;2.7;7.18;0.83;2;-2129.88;;;;;;;
31/01/2022;0.83153;11.156;3.3;7.76;0.81;1.9;-1649.81;;;;;;;
28/02/2022;0.83550;11.199;4.2;7.71;0.87;2.02;-1881.86;;;;;;;
31/03/2022;0.84595;11.101;5.3;7.83;1.03;1.86;-2141.12;;;;;;;
30/04/2022;0.83908;10.540;7.2;7.78;1.07;1.85;-2152.40;;;;;;;
31/05/2022;0.85138;10.713;8.0;7.86;1.28;2.06;-2340.52;;;;;;;
30/06/2022;0.85820;10.387;8.7;7.79;1.47;2.16;-2207.23;;;;;;;
31/07/2022;0.83990;10.198;9.1;7.88;1.88;2.63;-1787.02;;;;;;;
31/08/2022;0.86035;10.000;8.9;7.94;2.01;2.73;-3066.14;;;;;;;
30/09/2022;0.88300;0.9748;9.3;7.85;2.23;3.03;-2388.75;;;;;;;
31/10/2022;0.86115;0.9914;10.1;8.06;2.86;3.72;-2346.59;;;;;;;
30/11/2022;0.86488;10.376;9.9;7.98;3.09;4.01;-2042.42;;;;;;;
31/12/2022;0.88693;10.666;9.6;7.97;3.24;4.44;-2453.69;;;;;;;
31/01/2023;0.88073;10.833;8.4;8.45;3.32;4.7;-1600.13;;;;;;;
28/02/2023;0.87701;10.619;8.2;8.48;3.52;4.77;-1788.05;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
